artist_name,album_name,year,avg_dr,min_dr,max_dr,codec,source
LOS PANX,MORRITA PUNK (SINGLE),2019,255,255,255,lossy,Unknown
Access Denied,The ENDenied,2019,255,255,255,lossy,Unknown
Testing,Fake News,1915,99,01,99,lossless,Downmix
Test Account,Manual Testing 2.1,2020,84,05,255,lossy,Download
Test Account,Manual Testing 2.2,2020,84,05,255,lossy,Download
Test Account,Alignment testing,2020,84,06,14,lossless,Download
Test Account,Another alignment test,2020,84,06,14,lossless,Download
Test Account,Template v1.0,2020,84,06,14,lossless,Download
Keko,CD Test,2020,69,01,218,lossless,CD
Denon,Audio Technical CD,1984,48,48,48,lossless,CD
Polygonum,Nonparametric Estimation,2021,38,36,39,lossless,Download
Shurayuki-hime,Hama,2018,35,34,36,lossy,Download
Shurayuki-hime,Hama,2018,35,34,36,lossless,Download
Lee Patterson,Egg Fry #2,2012,32,32,32,lossless,Download
dvdmovies123,a collection of assorted shit!,2020,28,02,29,lossless,Download
The Jim Hall Trio,"Circles (USA, CJ-161, RAW)",1981,27,25,28,lossless,Vinyl
Hank Jones Trio,"Arigato (Japan, KUX-14-G, RAW)",1977,27,25,29,lossless,Vinyl
Dallas Simpson,The Shore Of Stones Suite,2015,25,19,30,lossless,Download
Ron Carter,"Pick 'Em (USA, M-9092, RAW)",1980,25,23,26,lossless,Vinyl
Ron Carter,"Patrāo (USA, M-9099, RAW)",1981,25,23,27,lossless,Vinyl
Isao Suzuki Trio / Quartet,"Blow Up (USA, RE, 180gr, 45rpm, TBM-15-45, 2LP, RAW)",2008,25,24,25,lossless,Vinyl
Gerry Mulligan Quartet,"What Is There To Say? (USA, mono, CL 1307, RAW)",1959,25,24,26,lossless,Vinyl
J.J. Cale,"5 (WG, 200 389, RAW)",1979,25,24,26,lossless,Vinyl
Jimmy Smith,"It's Necessary (USA, SRM-1-1189, RAW)",1977,25,24,26,lossless,Vinyl
Kenny Burrell,"Live At The Village Vanguard (USA, MR 5216, RAW)",1980,25,24,26,lossless,Vinyl
Ron Carter,"Parade (USA, M-9088, RAW)",1979,25,24,26,lossless,Vinyl
Kevin Drumm,Dying Air,2013,24,22,25,lossless,Download
Kotik/Orch. Of S.E.M. Ensemble,John Cage: Concert For Piano & Orchestra / Atlas Eclipticalis,1996,24,22,26,lossy,Download
Kenny Burrell,"Guitar Forms (USA, V6-8612, RAW)",1965,24,23,24,lossless,Vinyl
Larry Carlton,"Alone / But Never Alone (USA, MCA-5689, RAW)",1986,24,23,24,lossless,Vinyl
John Mayall,"Moving On (USA, PD 5036, RAW)",1972,24,23,25,lossless,Vinyl
Ron Carter,"Peg Leg (USA, M-9082, RAW)",1978,24,23,25,lossless,Vinyl
Ron Carter Quartet,"Piccolo (USA, M-55004, 2LP, RAW)",1977,24,23,25,lossless,Vinyl
"John Cage - The Orchestra Of The S.E.M. Ensemble , Petr Kotik , Joseph Kubera",Concert For Piano And Orchestra / Atlas Eclipticalis,1993,24,23,26,lossless,CD
Hank Jones,"Ain't Misbehavin' (USA, GXY-5123, RAW)",1979,24,23,26,lossless,Vinyl
George Benson,"Take Five (RE, USA, CTI 8014, RAW)",1979,24,24,24,lossless,Vinyl
John Cage,Complete Music for Piano Vol 11,2004,23,14,26,lossless,CD
The Smudge,Breakfast Wolf,2012,23,15,27,lossy,Unknown
リラックスヒーリングサウンド,雨の音 -睡眠、読書のための1/fゆらぎ-,2020,23,16,30,lossless,Download
The Crusaders,"Images (USA, BA-6030, RAW)",1978,23,22,23,lossless,Vinyl
Ron Carter,"New York Slick (USA, M-9096, RAW)",1980,23,22,24,lossless,Vinyl
War,"The Music Band 2 (USA, MCA 3193, RAW)",1979,23,22,24,lossless,Vinyl
Bennie Wallace,"Bordertown (USA, B1-48014, RAW)",1988,23,22,24,lossless,Vinyl
AMM,Newfoundland,1993,23,23,23,lossless,CD
Coleman Hawkins,"Coleman Hawkins And Confreres (USA, MG V-8346, mono, RAW)",1959,23,23,23,lossless,Vinyl
Hank Jones,"Bop Redux (USA, MR 5123, Promo, RAW)",1977,23,23,24,lossless,Vinyl
Los Angeles Guitar Quartet,LAGQ's Guitar Heroes S.A.CD (multichannel layer),2004,22,15,26,lossless,CD
Steffen Schleiermacher,Morton Feldman - The Late Piano Works Vol. 3,2009,22,16,28,lossless,CD
Helge Schneider,Hörspiele I,2004,22,17,27,lossless,Unknown
Echoes Of Nature,Rainforest,1998,22,18,24,lossless,CD
The Shadows,"Walkin' With The Shadows (UK, MFP 1388, RAW)",1970,22,19,26,lossless,Vinyl
Al Di Meola,"Splendido Hotel (USA, C2X 36270, 2LP, RAW)",1980,22,20,23,lossless,Vinyl
"Mahavishnu Orchestra With The London Symphony Orchestra, Michael Tilson Thomas","Apocalypse (USA, KC 32957, RAW)",1974,22,21,23,lossless,Vinyl
John McLaughlin,"Music Spoken Here (USA, 9 23723-1, RAW)",1982,22,21,23,lossless,Vinyl
Jimmy Smith,"Bucket (USA, BST-84235, RAW)",1966,22,22,22,lossless,Vinyl
Johnny Beecher,"Sax 5th Ave. (USA, CLM 102, mono, RAW)",1962,22,22,22,lossless,Vinyl
Charlie Parker,"Bird (The Original Recordings Of Charlie Parker, USA, 837 176-1, RAW)",1988,22,22,23,lossless,Vinyl
